table_name,column_name,data_type,is_nullable,column_default,constraint_type,foreign_table,foreign_column
batches,id,uuid,NO,gen_random_uuid(),PRIMARY KEY,null,null
batches,batch_number,text,NO,null,UNIQUE,null,null
batches,product_id,uuid,YES,null,FOREIGN KEY,products,id
batches,initial_quantity,numeric,NO,null,null,null,null
batches,current_quantity,numeric,NO,null,null,null,null
batches,created_at,timestamp with time zone,YES,now(),null,null,null
batches,parent_batches,ARRAY,YES,null,null,null,null
customer_orders,id,uuid,NO,gen_random_uuid(),PRIMARY KEY,null,null
customer_orders,order_number,text,NO,null,UNIQUE,null,null
customer_orders,client_name,text,NO,null,null,null,null
customer_orders,specs,jsonb,YES,null,null,null,null
customer_orders,status,text,YES,'planned'::text,null,null,null
customer_orders,created_at,timestamp with time zone,YES,now(),null,null,null
cutting_parts_warehouse,id,uuid,NO,uuid_generate_v4(),PRIMARY KEY,null,null
cutting_parts_warehouse,doc_number,text,NO,null,null,null,null
cutting_parts_warehouse,date,date,NO,CURRENT_DATE,null,null,null
cutting_parts_warehouse,time,time without time zone,NO,CURRENT_TIME,null,null,null
cutting_parts_warehouse,operation,text,NO,null,null,null,null
cutting_parts_warehouse,cutting_type_code,text,NO,null,null,null,null
cutting_parts_warehouse,cutting_type_name,text,NO,null,null,null,null
cutting_parts_warehouse,category,text,NO,null,null,null,null
cutting_parts_warehouse,quantity,integer,NO,null,null,null,null
cutting_parts_warehouse,source_number,text,YES,null,null,null,null
cutting_parts_warehouse,operator,text,YES,null,null,null,null
cutting_parts_warehouse,status,text,YES,'Проведено'::text,null,null,null
cutting_parts_warehouse,notes,text,YES,null,null,null,null
cutting_parts_warehouse,created_at,timestamp with time zone,YES,now(),null,null,null
cutting_parts_warehouse,updated_at,timestamp with time zone,YES,now(),null,null,null
cutting_types,id,uuid,NO,uuid_generate_v4(),PRIMARY KEY,null,null
cutting_types,code,text,NO,null,UNIQUE,null,null
cutting_types,category,text,NO,null,null,null,null
cutting_types,name,text,NO,null,null,null,null
cutting_types,material_type,text,NO,null,null,null,null
cutting_types,width_cm,numeric,YES,null,null,null,null
cutting_types,length_cm,numeric,YES,null,null,null,null
cutting_types,consumption_cm,numeric,NO,null,null,null,null
cutting_types,weight_g,numeric,YES,null,null,null,null
cutting_types,description,text,YES,null,null,null,null
cutting_types,status,text,YES,'Активно'::text,null,null,null
cutting_types,created_at,timestamp with time zone,YES,now(),null,null,null
cutting_types,updated_at,timestamp with time zone,YES,now(),null,null,null
employees,id,uuid,NO,gen_random_uuid(),PRIMARY KEY,null,null
employees,created_at,timestamp with time zone,YES,now(),null,null,null
employees,full_name,text,NO,null,null,null,null
employees,role,USER-DEFINED,NO,null,null,null,null
employees,shift_team,text,YES,null,null,null,null
